Afghanistan,China
Afghanistan,Iran
Afghanistan,Pakistan
Afghanistan,Tajikistan
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Angola,Democratic Republic of the Congo
Angola,Republic of Congo
Angola,Namibia
Angola,Zambia
Albania,Greece
Albania,Kosovo
Albania,Macedonia
Albania,Montenegro
United Arab Emirates,Oman
United Arab Emirates,Saudi Arabia
Argentina,Bolivia
Argentina,Brazil
Argentina,Chile
Argentina,Paraguay
Argentina,Uruguay
Armenia,Azerbaijan
Armenia,Georgia
Armenia,Iran
Armenia,Turkey
Austria,Switzerland
Austria,Czech Republic
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Slovakia
Austria,Slovenia
Azerbaijan,Armenia
Azerbaijan,Georgia
Azerbaijan,Iran
Azerbaijan,Russia
Azerbaijan,Turkey
Burundi,Democratic Republic of the Congo
Burundi,Rwanda
Burundi,United Republic of Tanzania
Belgium,Germany
Belgium,France
Belgium,Luxembourg
Belgium,Netherlands
Benin,Burkina Faso
Benin,Niger
Benin,Nigeria
Benin,Togo
Burkina Faso,Benin
Burkina Faso,Ivory Coast
Burkina Faso,Ghana
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Togo
Bangladesh,India
Bangladesh,Myanmar
Bulgaria,Greece
Bulgaria,Macedonia
Bulgaria,Romania
Bulgaria,Republic of Serbia
Bulgaria,Turkey
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Republic of Serbia
Belarus,Lithuania
Belarus,Latvia
Belarus,Poland
Belarus,Russia
Belarus,Ukraine
Belize,Guatemala
Belize,Mexico
Bolivia,Argentina
Bolivia,Brazil
Bolivia,Chile
Bolivia,Peru
Bolivia,Paraguay
Brazil,Argentina
Brazil,Bolivia
Brazil,Colombia
Brazil,France
Brazil,Guyana
Brazil,Peru
Brazil,Paraguay
Brazil,Suriname
Brazil,Uruguay
Brazil,Venezuela
Brunei,Malaysia
Bhutan,China
Bhutan,India
Botswana,Namibia
Botswana,South Africa
Botswana,Zambia
Botswana,Zimbabwe
Central African Republic,Cameroon
